79,53,49,72
28,56,58,81
47,36,96,53
87,13,49,71
7,25,14,1
42,72,45,20
50,32,63,46
2,25,61,60
80,32,62,81
55,66,79,94
66,59,93,42
20,44,71,13
88,63,41,14
15,91,56,80
64,59,14,55
82,96,7,30
59,55,43,48
76,95,69,13
78,8,58,62
41,23,95,18
85,65,32,86
24,68,38,2
60,73,35,98
41,22,84,15
35,57,48,83
3,45,76,50
33,85,38,48
12,56,15,17
10,11,12,47
62,85,76,99
25,66,32,59
93,4,41,10
86,12,91,14
64,95,26,21
68,50,36,38
55,47,83,42
96,65,32,54
16,63,97,93
72,83,94,31
81,19,63,64
93,33,16,40
81,95,26,69
21,5,46,60
68,77,1,69
22,79,15,9
24,18,4,72
81,80,92,88
23,99,49,99
17,40,51,52
77,6,59,43
