30,28,47,29
43,82,21,55
28,13,59,87
64,48,33,86
72,95,31,77
71,82,62,35
34,10,32,24
21,25,78,84
15,6,44,39
34,71,33,25
41,70,54,68
78,12,87,82
99,29,94,69
67,69,73,29
8,41,38,93
17,78,88,14
74,39,65,86
5,9,98,55
16,30,89,97
63,94,71,26
11,35,79,44
6,56,99,6
94,83,30,15
47,35,67,29
20,37,76,58
92,72,16,50
46,60,27,61
55,92,12,29
26,79,29,59
96,45,69,41
94,76,69,1
67,51,29,43
6,2,41,55
99,35,98,31
23,46,83,45
29,78,30,16
69,10,65,9
67,51,84,51
11,38,13,55
39,19,32,99
29,39,12,45
18,79,62,32
11,2,43,76
71,98,42,58
87,43,55,42
86,13,51,97
94,30,53,75
3,3,70,4
65,45,93,47
4,76,32,2
