10,15,1
19,13,1
21,14,1
34,46,1
37,12,1
52,47,1
58,5,1
61,4,1
64,23,1
68,14,1
70,9,1
72,31,1
76,11,1
79,35,1
80,14,1
5,14,2
13,14,2
14,20,2
22,6,2
23,3,2
32,36,2
35,42,2
48,5,2
53,28,2
57,5,2
66,42,2
73,1,2
75,30,2
77,46,2
2,11,3
11,31,3
18,1,3
20,3,3
29,18,3
33,44,3
40,41,3
41,1,3
45,20,3
46,36,3
51,13,3
54,15,3
59,42,3
62,11,3
65,6,3
1,1,4
4,23,4
9,26,4
24,18,4
26,27,4
28,4,4
31,28,4
38,17,4
42,27,4
43,24,4
44,3,4
49,3,4
56,47,4
60,10,4
69,31,4
3,9,5
6,20,5
7,19,5
8,15,5
12,3,5
15,1,5
16,17,5
17,25,5
25,20,5
27,80,5
30,4,5
36,1,5
39,22,5
47,9,5
50,2,5
55,16,5
63,15,5
67,8,5
71,1,5
74,1,5
78,1,5
