30,66,54,45
96,40,49,71
52,57,23,98
55,66,34,19
4,39,39,61
99,20,49,50
78,82,87,42
33,52,71,86
30,75,18,69
93,77,15,30
70,37,88,34
19,70,15,55
61,41,71,26
38,54,25,19
14,59,51,49
66,95,6,78
49,11,70,63
75,63,65,62
22,36,28,54
33,68,46,3
79,14,81,86
85,99,95,15
28,6,58,7
81,21,47,49
48,46,34,56
11,72,88,63
75,16,60,6
22,7,17,80
86,13,66,25
21,96,81,87
41,47,70,99
47,44,53,81
36,4,76,45
92,62,100,98
26,16,1,27
16,3,53,11
44,29,61,35
62,64,29,32
67,42,73,45
96,45,56,48
70,47,1,67
89,4,42,17
49,31,95,47
58,71,55,8
39,6,64,6
24,35,93,93
42,61,46,66
31,47,66,58
96,30,78,26
92,93,35,86
