71,62,79,25
42,10,70,28
22,49,63,29
30,34,68,36
15,76,65,39
2,81,53,65
86,49,56,72
1,57,14,45
61,97,59,8
69,28,100,95
4,54,13,39
34,41,89,5
31,2,81,57
65,57,8,19
96,17,91,96
35,62,7,72
28,48,51,62
1,75,80,68
91,77,72,15
99,35,58,7
77,72,17,19
63,62,20,7
85,98,47,37
48,46,56,37
43,89,86,65
3,75,20,7
77,66,97,9
38,54,35,74
12,88,25,80
7,57,1,21
76,71,33,4
93,87,91,60
86,90,88,91
41,71,26,66
87,78,16,95
69,91,41,19
30,28,38,71
97,100,20,51
54,74,3,14
62,3,62,43
6,99,56,76
94,30,39,14
49,25,46,89
36,59,41,61
3,44,71,67
93,16,43,65
11,45,1,56
79,1,90,86
29,43,28,59
60,89,89,73
