6,19,98,2,6,91,52,75,92,25
54,99,25,68,51,25,93,22,20,14
99,17,79,77,62,2,30,29,51,1
25,7,95,89,8,67,64,33,56,48
23,39,16,16,94,69,52,81,12,23
39,69,25,43,18,47,57,22,52,61
37,61,86,36,11,71,8,71,91,60
13,81,23,29,76,42,66,65,93,93
46,15,74,15,18,66,100,28,71,13
21,64,56,100,92,47,92,41,70,42
80,21,38,64,92,14,30,28,49,50
25,81,32,11,78,99,25,75,99,59
30,48,35,75,2,83,13,15,15,87
42,38,13,15,85,91,26,31,72,10
35,61,33,51,30,12,51,92,35,28
90,1,95,32,31,91,82,87,21,10
69,79,94,78,63,57,37,9,47,1
5,12,88,65,27,46,62,27,12,57
83,49,53,16,98,37,72,10,25,28
47,10,3,78,35,78,28,67,100,79
27,25,40,92,86,66,9,83,15,78
94,32,91,48,70,100,40,88,8,96
44,39,49,4,89,95,52,22,37,35
49,23,8,37,54,51,11,46,41,43
36,11,88,87,78,32,48,24,45,10
67,63,78,94,10,71,89,63,43,17
99,6,91,99,29,7,92,13,9,39
10,72,56,13,13,30,16,40,56,62
10,98,24,25,99,53,73,12,60,20
17,46,93,89,49,14,42,99,37,15
10,91,52,86,50,86,50,20,39,93
81,57,59,88,60,51,59,37,55,81
64,94,4,89,31,67,45,70,100,89
45,68,98,39,77,80,6,40,90,43
89,2,73,26,87,36,41,39,84,15
58,4,48,35,72,69,67,6,40,86
82,28,6,42,8,80,74,28,99,25
84,18,66,95,4,59,91,8,66,44
52,42,99,67,23,25,22,50,80,14
51,14,47,66,71,100,15,25,33,29
61,14,15,26,37,5,46,65,63,49
4,24,55,75,60,55,51,49,12,41
31,62,25,82,62,65,90,15,39,69
66,75,64,23,27,95,53,42,95,79
85,84,17,2,14,15,31,74,48,31
26,59,32,56,77,41,60,45,72,69
77,66,6,51,85,91,8,81,92,55
87,51,92,34,38,14,44,16,47,90
89,67,11,63,23,88,69,89,90,12
12,50,99,3,34,83,54,40,27,17
66,82,98,83,95,9,7,43,43,12
69,58,39,62,35,58,80,90,93,87
82,66,82,14,5,64,54,40,64,5
24,18,1,97,69,47,63,52,98,29
21,14,94,67,37,60,91,21,57,7
24,85,23,65,13,44,95,4,58,87
98,44,96,67,47,28,32,34,72,75
75,91,27,5,35,25,100,25,43,87
69,19,25,89,83,14,80,11,36,78
84,46,93,84,65,50,84,24,100,89
46,40,94,29,49,10,2,85,62,34
54,44,60,78,33,20,7,88,37,35
13,74,66,55,62,30,56,82,75,72
60,25,67,52,100,20,4,70,21,35
24,61,78,9,81,29,58,23,44,62
83,27,75,90,21,34,52,57,91,36
51,99,2,3,4,19,75,32,9,22
73,83,33,87,49,38,17,100,17,84
81,36,87,79,14,11,47,67,5,16
52,66,19,85,34,70,10,32,33,43
41,97,83,53,62,47,99,60,79,87
65,38,23,89,7,16,82,91,93,99
91,68,25,71,96,35,27,75,83,16
29,14,43,37,18,75,85,61,97,75
63,10,67,77,72,83,60,31,53,28
27,53,18,15,67,53,59,89,39,7
53,64,45,78,55,2,82,2,24,27
83,21,91,24,68,62,28,82,89,69
82,88,78,8,10,9,38,64,57,93
80,2,12,6,2,55,68,94,65,39
42,33,15,14,4,14,44,12,55,28
6,83,14,4,27,19,90,73,26,91
26,89,91,59,22,30,45,65,100,31
50,89,67,42,82,59,14,65,26,10
95,43,25,15,40,49,21,56,53,57
13,10,38,94,38,54,12,91,81,52
85,34,15,5,56,8,8,16,1,99
14,73,11,72,15,84,9,91,44,74
30,29,83,38,38,50,3,97,77,18
98,81,94,86,1,93,95,18,63,4
71,28,85,39,87,25,10,3,26,47
79,16,23,60,18,95,23,90,7,96
10,26,14,23,59,37,13,69,18,62
92,18,72,95,86,76,50,15,77,35
31,33,69,54,39,93,10,66,57,31
90,11,14,13,93,87,41,85,58,62
15,98,70,20,87,83,28,87,2,44
48,50,18,28,34,33,39,28,81,4
60,94,65,46,34,43,41,72,72,5
18,73,59,33,60,19,46,72,60,83
86,60,69,64,64,91,76,61,50,95
50,22,46,80,42,40,5,83,18,79
33,6,72,12,84,28,96,84,97,1
2,24,42,48,49,55,83,42,63,88
100,96,61,45,54,82,6,64,96,72
30,66,16,45,45,7,34,35,40,83
39,96,63,17,65,51,35,36,28,23
37,61,27,53,75,16,16,72,21,46
55,6,35,10,49,54,53,25,77,64
31,2,3,76,24,45,27,20,20,27
85,28,7,33,92,8,34,80,66,54
99,69,75,73,44,11,97,15,36,37
15,23,87,20,77,49,46,41,93,4
98,22,80,58,96,63,93,76,18,6
32,99,86,71,58,80,26,79,32,33
20,26,18,26,64,60,43,46,15,97
57,72,81,4,92,43,86,89,50,39
22,74,9,71,52,65,11,17,68,30
37,42,75,39,37,81,51,15,6,54
61,88,2,41,81,50,55,39,58,47
51,12,16,65,73,35,23,30,29,86
4,96,31,54,73,64,86,13,20,28
85,9,44,72,4,92,88,21,5,46
66,69,5,86,7,62,97,94,89,57
42,77,18,41,92,50,92,22,5,76
51,80,20,36,70,26,11,45,54,53
67,41,28,95,81,40,70,20,88,29
29,26,71,42,21,84,100,48,58,51
80,25,98,85,13,22,5,56,9,39
77,35,63,51,13,85,1,1,45,96
12,4,28,12,5,14,14,91,83,87
8,67,45,75,10,47,53,54,10,27
25,54,12,83,59,63,57,68,19,58
67,19,36,18,33,39,60,77,65,42
43,79,8,1,5,36,51,53,19,97
50,30,82,36,93,72,4,8,73,96
41,21,3,65,54,40,80,40,40,54
9,46,56,10,61,4,5,90,95,44
72,56,8,53,98,50,66,26,74,19
31,9,70,39,54,6,39,30,83,2
85,87,13,69,16,84,93,12,27,26
52,88,75,38,36,9,72,99,5,75
83,48,100,81,23,79,8,99,33,13
71,26,39,61,13,68,46,58,53,63
34,67,40,30,87,24,65,10,66,8
79,19,82,63,22,22,71,43,58,98
36,70,99,94,69,32,1,82,70,40
25,18,63,38,2,20,85,47,86,21
33,18,19,84,16,20,47,28,89,99
23,36,83,8,43,9,49,13,10,51
54,73,41,95,57,27,90,50,84,70
22,66,27,61,16,96,70,99,26,3
40,6,22,98,94,52,73,83,64,40
49,20,23,40,79,48,33,56,70,25
77,69,19,64,35,84,46,83,93,8
4,23,19,25,82,18,100,25,26,41
55,63,1,91,28,25,84,99,98,65
29,71,34,99,28,16,54,47,37,40
89,43,46,82,48,7,72,62,84,86
54,7,17,94,2,62,20,84,71,20
61,23,91,40,92,68,74,86,35,79
90,58,78,60,45,16,60,20,6,85
90,60,60,31,25,74,65,21,31,32
11,18,95,11,34,67,96,10,42,94
59,88,17,51,91,59,89,80,90,62
2,53,58,5,2,24,34,14,26,59
61,86,13,15,61,76,22,74,75,55
65,47,34,40,68,41,66,67,25,29
79,51,83,91,46,32,10,27,47,29
63,94,6,19,54,8,29,30,8,99
18,89,51,100,66,63,54,69,88,59
6,1,33,48,20,77,14,13,49,58
43,87,13,69,87,64,91,7,94,35
67,34,65,76,69,19,1,67,21,1
41,23,29,97,56,54,22,1,15,46
53,76,66,62,17,7,39,40,74,65
43,10,50,71,2,12,58,61,90,39
18,37,38,79,2,98,70,44,5,44
34,24,42,85,100,55,44,16,85,78
88,84,62,13,38,72,5,96,87,16
56,12,94,20,82,84,35,17,81,80
8,67,87,58,79,27,82,26,46,35
15,56,47,81,60,34,68,89,16,87
79,33,84,9,98,85,24,13,43,74
61,61,33,95,22,57,18,41,13,11
43,62,79,12,48,55,77,41,91,23
13,35,85,46,59,66,41,94,89,47
