99,95,76,59
62,41,12,23
49,43,52,36
56,25,85,68
29,67,1,80
39,87,37,36
67,80,74,38
4,2,12,56
84,4,77,92
26,42,77,60
44,82,47,43
76,80,29,15
20,59,6,61
33,5,8,43
42,34,12,76
14,59,37,91
33,90,92,21
37,19,61,23
20,34,43,76
92,58,3,39
79,68,43,68
91,3,34,62
34,55,36,45
80,10,20,75
81,60,19,67
34,44,12,43
74,83,45,40
94,24,14,97
48,76,96,23
96,79,25,3
11,21,27,74
78,100,76,44
82,22,5,58
39,11,17,18
7,100,52,85
11,61,21,90
33,78,53,68
19,83,8,26
61,46,26,9
58,97,84,32
47,88,57,11
20,56,5,79
15,97,62,4
5,2,32,23
39,19,85,3
60,4,49,74
5,38,63,95
47,96,34,91
48,32,51,46
30,22,56,74
