19,71,30,1,45,35,1,84
60,77,98,49,79,37,75,58
34,67,34,81,15,50,69,8
2,47,19,40,77,68,11,61
11,13,66,44,42,21,86,71
49,39,28,90,79,46,17,67
40,18,49,71,30,25,77,64
50,7,7,91,83,86,84,17
46,76,19,93,72,11,33,42
72,60,28,11,83,44,44,54
20,25,68,49,22,67,4,46
30,18,18,80,60,5,69,45
10,55,62,89,58,94,12,24
94,58,13,28,16,14,76,82
84,23,76,89,99,79,14,3
96,96,88,93,6,70,7,19
27,57,84,30,23,12,49,60
79,72,99,78,13,99,4,5
54,52,100,83,1,76,28,86
96,18,6,29,90,39,29,19
42,3,78,90,86,9,19,9
76,59,5,41,91,96,99,42
64,28,5,47,92,18,26,44
13,13,31,82,25,91,12,60
29,24,95,87,71,3,17,25
22,18,77,51,4,93,63,15
85,65,40,58,43,20,57,58
96,25,45,75,96,22,66,64
31,53,2,91,48,1,96,78
17,92,95,99,86,59,81,19
28,39,5,7,66,45,85,59
4,69,40,40,46,64,89,34
85,93,5,24,93,48,92,28
75,77,56,1,47,19,29,27
97,85,29,55,5,82,44,81
95,37,64,29,77,32,38,39
78,38,73,38,37,92,42,28
32,81,43,43,16,36,65,22
37,58,58,95,55,1,52,80
86,97,84,12,12,11,14,98
51,84,6,8,12,48,17,12
36,52,71,19,35,22,24,11
10,3,20,7,28,87,24,19
6,54,73,4,24,94,81,39
47,15,68,53,33,55,59,34
44,23,91,40,33,52,8,8
3,55,86,64,57,85,12,30
76,17,34,67,5,32,60,70
10,94,59,32,27,9,14,27
54,54,98,79,84,22,42,24
