19,19,69,40,33
47,57,15,85,36
55,9,100,58,9
51,6,77,39,98
31,42,8,65,80
97,78,61,44,54
56,37,82,65,8
28,11,3,27,45
3,95,22,20,7
42,45,96,84,29
79,59,4,58,79
63,3,7,43,30
99,40,55,97,89
80,56,48,30,27
75,24,10,6,44
8,46,58,89,100
8,88,1,29,76
66,40,42,17,95
2,96,39,81,74
3,20,54,69,54
77,24,9,11,34
89,79,47,37,93
18,33,3,2,74
69,78,37,36,95
93,27,62,61,6
45,72,45,23,45
32,64,61,56,1
96,28,3,95,58
89,47,17,65,18
25,95,38,76,61
84,86,17,52,70
28,78,100,28,63
96,70,70,86,27
52,6,78,70,87
52,96,38,58,16
94,27,52,98,70
76,3,68,90,24
13,34,38,52,68
63,95,55,91,19
53,68,49,7,29
9,94,21,17,50
60,83,4,19,32
28,65,56,78,46
3,50,81,39,41
50,29,48,44,46
98,82,13,79,70
39,89,42,11,43
37,56,84,23,85
5,62,36,69,62
21,7,19,93,59
87,92,14,14,10
26,53,31,63,8
47,72,38,29,24
12,14,96,61,64
6,5,23,8,58
24,72,26,1,94
68,72,91,94,1
77,84,52,49,10
55,27,64,49,42
74,70,47,84,4
44,83,11,84,94
90,70,6,66,85
8,57,63,12,60
84,57,75,23,67
25,70,68,67,84
58,18,93,62,71
60,7,81,24,79
45,35,91,39,95
48,29,65,36,38
19,69,8,94,60
82,71,29,22,27
92,93,68,60,59
41,63,24,43,39
72,100,9,61,37
48,30,22,53,71
34,38,74,27,81
83,14,70,39,49
96,74,19,54,48
68,42,17,27,9
79,25,14,6,4
