91,22,40,25,91
95,3,79,32,43
10,88,83,92,17
87,95,53,73,28
8,93,6,43,1
56,38,37,58,74
61,49,22,69,89
98,26,91,65,72
85,13,47,22,90
87,19,1,20,6
18,14,42,18,26
37,27,29,47,21
4,65,7,27,85
96,74,97,79,20
42,63,77,1,4
71,60,44,45,57
39,44,1,11,78
46,41,15,31,69
62,14,21,44,34
65,93,49,46,94
17,38,60,58,70
53,49,99,26,33
93,20,54,68,88
3,87,83,2,37
29,26,94,47,39
91,74,27,20,28
64,37,71,43,32
96,97,31,69,96
70,21,80,78,95
46,28,43,17,79
90,75,70,45,9
37,34,99,65,12
29,36,38,58,8
23,32,70,16,31
43,61,62,92,47
96,74,83,74,92
10,23,45,38,19
78,63,88,43,4
94,68,47,13,79
22,95,27,22,28
57,36,50,21,33
62,42,77,74,21
97,23,61,29,78
84,14,92,44,97
86,30,71,82,62
67,71,62,60,24
94,78,59,73,60
97,82,94,46,46
83,82,1,55,36
32,29,47,1,43
63,22,65,38,47
65,70,9,72,29
43,15,63,15,73
83,21,88,11,16
74,44,72,28,71
1,77,8,31,3
35,45,44,84,15
3,31,70,11,88
30,72,82,47,64
76,44,21,19,53
69,70,55,20,35
31,45,97,30,46
40,65,42,95,94
87,8,30,32,62
31,9,37,39,41
75,5,96,10,78
15,37,99,66,33
19,38,2,47,52
61,92,11,17,67
21,69,45,2,32
43,12,33,12,59
48,55,79,80,1
6,84,95,44,60
52,75,82,17,33
43,34,13,98,83
89,91,10,13,31
2,32,32,70,6
87,85,64,21,14
6,52,7,31,56
70,81,9,36,69
