99,41,100,83,84,65,42,18
23,60,27,81,2,13,9,30
51,56,54,72,72,17,16,76
95,63,68,58,31,82,75,47
73,5,83,27,93,81,25,14
22,29,67,34,9,27,69,94
64,38,97,56,3,40,51,46
64,48,12,52,90,99,43,55
83,31,90,80,48,47,24,18
36,24,91,22,1,89,20,63
62,8,10,57,39,15,15,16
48,83,4,70,64,5,93,28
57,11,89,41,49,57,47,45
60,34,8,84,36,30,66,49
11,40,18,3,78,77,91,3
96,92,52,97,98,15,52,9
78,46,53,65,82,94,11,54
33,7,67,10,91,51,79,5
17,6,20,12,17,33,39,65
13,94,3,67,43,7,98,79
29,22,39,8,47,28,27,1
5,8,3,64,97,21,47,57
62,60,42,4,52,3,51,17
17,37,27,38,45,22,26,99
56,62,42,94,14,29,45,1
40,99,3,8,53,97,71,7
64,26,30,89,81,63,7,72
19,34,100,19,79,37,73,95
50,95,66,11,84,73,47,21
49,46,90,25,85,88,17,53
88,79,9,70,56,74,30,19
14,82,40,60,71,36,76,31
13,19,86,66,75,89,86,75
90,29,95,56,32,77,6,10
70,39,68,27,34,37,5,74
48,21,68,58,56,4,54,29
49,85,36,23,27,94,45,8
56,76,6,40,38,31,27,71
92,11,24,42,1,23,33,44
96,58,16,13,29,60,19,38
19,97,60,91,82,22,67,86
87,55,4,73,19,19,42,36
97,1,63,10,21,23,37,79
99,55,99,56,21,94,39,96
79,67,65,88,69,79,27,2
61,18,49,51,75,39,51,49
25,67,93,59,23,76,21,48
33,70,82,64,74,5,15,26
58,58,89,16,6,24,27,39
5,82,5,9,50,67,57,79
