39,48,21,82,51,45,38,1
57,59,98,48,50,75,52,15
8,11,12,54,48,62,94,19
56,66,47,28,77,49,11,60
14,7,35,36,57,4,46,93
21,96,26,39,23,11,67,25
56,98,97,71,44,53,30,52
24,98,1,84,48,30,12,33
59,31,19,18,90,78,6,74
11,79,80,70,7,78,14,85
38,42,64,2,52,40,48,36
90,78,84,86,67,98,97,72
43,11,29,87,83,62,65,30
95,71,55,37,23,22,46,14
76,55,78,56,33,41,38,18
76,98,2,61,78,15,79,40
65,57,11,51,52,35,38,74
87,4,55,71,62,33,99,25
67,24,43,55,35,3,93,59
98,71,63,58,79,28,1,46
56,18,57,99,41,86,19,57
11,54,48,97,75,48,80,40
71,83,21,98,43,68,73,75
83,11,74,94,91,70,6,53
71,71,38,66,19,27,60,90
84,41,36,6,14,77,25,99
48,2,60,76,20,43,35,71
90,3,85,78,27,12,41,91
67,81,76,10,11,40,78,85
25,1,27,80,6,64,12,85
99,49,85,21,60,60,1,32
37,27,86,38,86,40,91,95
85,94,63,24,73,79,84,96
80,28,18,40,23,49,41,96
83,4,41,59,23,48,60,76
16,33,82,88,34,95,81,95
33,4,84,64,62,97,79,64
36,79,59,29,57,16,67,73
94,40,90,56,4,57,51,56
42,45,58,68,67,79,14,81
8,60,33,11,9,58,73,42
47,66,66,67,49,59,77,70
79,18,38,95,66,82,60,25
53,64,93,54,68,76,6,3
30,67,36,57,94,16,25,7
26,72,73,41,62,8,25,19
25,26,99,98,93,47,95,14
29,73,34,13,96,41,81,62
94,51,5,8,94,43,84,78
17,88,90,92,72,8,55,94
