57,95,32,56,95,69,66,30
65,79,40,100,81,13,20,41
44,39,43,63,31,12,59,76
3,19,16,25,82,19,54,48
8,15,50,71,9,86,72,48
77,29,50,9,90,30,65,75
51,85,57,30,36,47,33,100
100,88,15,33,83,73,71,86
13,5,7,13,17,52,35,60
52,8,83,66,5,32,74,88
15,24,20,31,63,61,42,77
86,6,99,91,29,68,1,1
5,9,74,29,59,21,80,100
12,78,50,63,96,86,63,30
93,9,41,70,23,40,61,99
2,46,28,47,68,50,32,99
30,53,62,74,82,54,86,5
7,97,37,14,80,100,80,5
98,3,59,44,64,28,73,62
44,23,98,55,77,43,44,63
33,91,88,39,28,51,6,59
67,95,36,65,40,33,10,47
91,71,49,92,14,53,11,79
87,72,32,93,14,36,75,72
82,47,23,80,66,38,2,44
98,10,6,41,36,79,81,30
93,93,43,22,9,18,96,42
75,3,33,47,91,44,86,6
4,88,29,19,62,93,54,6
68,76,64,86,81,49,6,21
89,28,37,84,69,77,73,81
58,85,56,44,80,16,81,83
26,42,19,52,95,66,73,26
41,70,89,70,7,98,24,13
22,79,75,82,96,28,93,75
89,31,32,46,10,45,17,44
58,24,65,83,96,78,58,5
37,37,67,18,20,53,38,41
34,81,36,64,64,29,19,60
71,45,26,64,66,8,20,47
10,32,82,9,44,81,50,25
6,1,57,28,30,25,71,100
21,46,10,89,14,41,31,32
86,73,58,39,58,29,28,97
14,63,92,22,54,36,77,40
14,15,50,1,4,39,67,65
28,48,8,58,1,50,67,95
38,34,33,36,34,50,17,41
84,89,21,94,3,93,72,9
31,59,38,1,95,13,54,58
