97,83,31,79,73,95,79,61
48,28,42,27,25,81,41,98
83,68,65,29,92,59,90,11
21,3,24,62,55,29,36,86
18,51,85,33,36,71,88,12
40,29,54,88,70,53,70,38
99,60,7,5,22,34,48,12
86,80,11,14,64,49,40,69
19,87,74,59,10,91,46,19
42,28,14,45,23,42,7,46
96,47,10,19,27,3,77,72
90,66,66,7,1,33,20,34
33,36,90,47,15,46,26,16
21,37,91,7,53,39,45,93
56,65,30,61,80,18,15,48
13,89,25,16,14,94,90,5
78,25,83,9,22,68,54,65
8,72,73,83,11,67,64,50
1,73,19,4,54,15,87,58
35,40,38,19,96,64,33,25
90,58,7,93,60,28,4,71
84,75,38,64,81,70,44,44
58,35,86,77,98,30,67,12
5,40,73,14,66,21,56,48
27,68,25,74,76,85,31,76
91,49,52,64,42,56,90,49
59,35,19,93,62,98,62,75
35,31,50,83,84,98,13,44
73,18,5,99,6,86,66,9
49,70,75,33,10,51,75,30
36,78,69,24,76,33,98,96
55,54,83,76,33,90,95,8
25,86,28,23,47,2,83,68
46,55,57,65,3,61,87,1
15,58,40,41,19,99,51,68
87,42,16,45,38,77,82,87
70,76,84,32,88,87,25,78
66,75,89,38,76,91,30,94
89,42,87,13,86,39,89,42
72,44,22,28,32,98,24,82
38,29,26,60,89,7,42,18
12,4,97,16,36,13,84,18
41,34,88,94,18,2,97,53
39,12,24,9,62,66,32,99
43,67,35,10,83,58,66,91
23,73,53,59,95,23,16,91
61,36,56,66,28,93,67,21
11,78,87,25,32,18,23,15
60,85,73,72,1,28,26,23
79,82,59,74,62,72,17,57
