72,70,27,10,27
50,47,56,82,5
62,22,44,45,35
69,98,69,24,63
24,17,37,2,21
65,75,62,6,61
68,15,31,38,33
80,96,100,11,48
41,68,61,72,18
13,54,6,57,87
99,74,91,8,77
1,19,81,15,67
48,1,84,87,4
95,38,14,99,82
77,53,100,62,81
7,63,18,25,32
56,79,30,76,31
94,62,21,7,97
19,22,32,33,84
65,24,72,84,1
8,79,64,70,35
55,39,41,44,60
35,24,94,43,7
89,40,83,90,62
47,74,68,27,71
14,20,99,60,97
44,10,43,99,28
26,95,52,32,99
55,12,47,71,75
100,90,53,74,46
44,80,69,89,89
41,19,64,90,38
67,61,29,45,52
23,79,57,41,7
58,95,89,62,19
72,24,15,26,7
70,27,69,99,13
56,87,65,22,60
59,26,22,86,70
55,60,55,53,1
