4,3,1
8,5,1
10,8,1
29,27,1
31,1,1
39,14,1
40,11,1
61,11,1
74,4,1
76,3,1
88,11,1
90,3,1
105,1,1
106,20,1
128,23,1
134,4,1
142,20,1
175,6,1
182,8,1
184,3,1
190,1,1
198,1,1
11,2,2
17,5,2
22,59,2
35,3,2
58,1,2
59,2,2
79,15,2
80,4,2
81,20,2
83,26,2
98,5,2
118,1,2
132,17,2
143,19,2
162,4,2
173,2,2
178,1,2
196,2,2
1,10,3
20,13,3
21,2,3
36,3,3
64,6,3
66,9,3
108,6,3
117,3,3
121,8,3
122,3,3
123,14,3
126,15,3
133,19,3
136,5,3
138,12,3
140,3,3
149,8,3
151,29,3
172,9,3
179,2,3
195,7,3
2,17,4
6,10,4
16,9,4
25,11,4
54,2,4
56,1,4
70,12,4
78,1,4
86,32,4
91,1,4
93,7,4
103,8,4
116,6,4
137,5,4
141,19,4
154,18,4
155,7,4
171,9,4
174,7,4
197,4,4
199,2,4
3,10,5
13,13,5
18,4,5
26,3,5
28,2,5
30,31,5
41,1,5
44,1,5
45,2,5
49,14,5
53,5,5
62,24,5
72,1,5
75,12,5
89,9,5
100,7,5
129,3,5
153,6,5
157,15,5
163,4,5
166,8,5
170,11,5
183,2,5
9,12,6
12,15,6
14,24,6
15,1,6
37,9,6
38,2,6
48,5,6
57,4,6
69,2,6
82,9,6
92,19,6
96,1,6
107,1,6
110,1,6
145,5,6
156,23,6
160,8,6
165,4,6
176,2,6
181,31,6
189,1,6
193,5,6
7,5,7
19,1,7
27,4,7
46,1,7
47,4,7
51,4,7
65,12,7
71,15,7
73,20,7
77,1,7
85,6,7
94,17,7
99,6,7
102,13,7
109,21,7
111,2,7
113,10,7
125,34,7
159,9,7
188,1,7
24,14,8
42,1,8
50,4,8
55,1,8
67,18,8
112,11,8
139,22,8
150,5,8
158,11,8
161,23,8
164,20,8
167,25,8
185,1,8
194,29,8
200,3,8
23,2,9
33,29,9
34,3,9
43,11,9
63,11,9
68,10,9
84,5,9
95,19,9
101,8,9
104,2,9
115,10,9
119,19,9
127,2,9
146,3,9
147,7,9
177,22,9
186,15,9
187,10,9
5,10,10
32,5,10
52,9,10
60,14,10
87,15,10
97,12,10
114,15,10
120,4,10
124,13,10
130,16,10
131,6,10
135,1,10
144,13,10
148,11,10
152,16,10
168,1,10
169,4,10
180,14,10
191,7,10
192,1,10
