85,73,65,80,80
82,22,50,99,14
94,67,16,1,53
33,61,92,60,86
38,3,98,23,54
75,17,95,61,33
60,96,63,33,3
45,75,79,60,6
18,59,66,92,59
16,83,46,3,62
65,26,64,42,35
88,55,13,99,33
54,14,14,1,85
66,28,61,26,74
37,70,69,43,53
39,25,92,22,66
58,96,32,42,59
81,86,30,43,16
51,91,86,30,53
25,78,49,62,9
38,7,35,6,91
6,21,75,92,91
60,39,55,89,80
40,2,17,19,35
44,15,33,63,32
64,47,13,90,64
93,84,77,8,15
20,65,97,40,28
55,35,34,84,34
54,89,92,13,68
11,3,59,53,22
42,47,10,21,47
87,31,5,34,50
41,53,2,46,50
6,90,52,20,43
42,31,11,2,43
6,95,9,83,2
75,24,20,43,70
96,44,25,37,65
85,55,4,83,97
42,12,24,94,50
65,36,69,68,92
53,65,6,97,42
2,60,5,32,2
80,57,6,2,18
96,53,78,83,43
94,13,38,27,62
59,64,76,66,49
63,95,29,53,41
16,80,56,3,79
81,51,54,96,19
17,20,61,97,65
76,47,85,66,8
43,86,58,76,70
49,13,27,28,45
19,97,49,97,67
27,13,99,95,55
66,66,38,53,45
22,42,90,72,90
32,40,37,35,24
76,61,63,13,2
49,37,28,27,40
31,71,28,3,42
60,18,81,92,80
96,55,22,19,88
25,35,65,43,60
79,55,80,4,47
85,4,23,47,19
70,67,70,21,46
76,72,22,78,76
3,83,49,2,73
72,13,31,56,37
79,18,38,70,36
47,75,44,79,35
65,12,19,36,27
82,97,31,52,42
18,4,33,38,44
32,11,80,81,24
18,65,80,64,56
69,64,66,10,14
