92,60,89,56,86
13,59,1,24,73
79,69,51,65,56
56,32,5,93,73
4,66,36,25,37
67,92,13,36,72
7,61,73,39,6
43,44,100,34,93
3,60,97,35,74
21,59,68,5,46
76,85,93,60,46
81,69,3,81,93
77,20,1,64,94
41,60,93,69,87
42,17,66,3,74
93,61,21,18,63
29,1,41,96,19
7,84,58,35,51
76,98,15,22,92
2,59,65,80,13
90,25,1,99,15
15,48,96,72,29
61,95,78,42,2
30,66,15,69,3
55,36,5,66,24
68,57,99,89,88
66,23,91,99,63
53,38,26,100,49
36,61,7,72,88
42,47,24,62,14
17,58,80,95,44
70,55,100,38,2
91,74,61,13,54
33,19,52,93,74
56,54,50,35,20
88,88,18,54,82
7,6,94,81,96
19,30,76,53,96
31,47,72,66,5
87,97,17,48,89
