48,29,98,70
57,29,83,84
11,62,18,54
81,10,68,35
69,80,9,91
54,51,91,44
7,14,4,50
83,4,73,51
23,98,46,5
39,84,65,17
69,94,38,81
76,49,3,26
23,46,84,61
83,29,20,51
84,92,92,37
87,1,52,93
50,52,96,56
89,86,62,74
94,64,52,61
64,14,39,62
88,23,88,42
95,80,49,89
42,49,81,11
94,78,65,92
33,36,3,62
71,64,9,45
44,9,62,32
14,23,88,99
45,52,34,60
72,43,89,58
42,95,8,1
65,25,99,15
17,49,30,93
88,54,19,56
49,74,76,55
11,40,30,43
45,47,97,50
16,9,40,29
81,15,39,88
99,24,32,85
72,47,84,92
96,55,87,78
11,42,94,33
71,51,23,66
23,12,41,70
74,96,89,19
66,93,56,75
21,55,94,82
6,66,32,59
94,8,96,27
