60,53,63,4
71,1,88,71
92,4,64,90
93,85,37,30
34,37,20,47
57,6,54,90
91,54,86,64
49,66,80,95
63,74,97,22
97,26,64,45
36,5,70,84
33,60,89,86
13,99,99,56
62,41,32,74
74,95,15,47
35,82,78,51
92,17,83,54
80,15,4,77
50,2,50,9
86,62,43,41
84,94,27,52
72,52,29,12
14,79,79,91
53,45,16,2
83,88,66,84
38,59,54,24
21,13,93,16
32,38,77,36
92,20,11,55
91,61,43,2
36,43,70,2
54,24,51,33
61,33,93,74
92,24,25,67
51,83,40,73
88,87,56,57
42,96,15,20
31,44,14,34
85,51,59,80
20,36,1,26
23,51,15,16
28,88,35,39
10,93,72,40
13,60,86,85
89,8,41,66
35,59,16,98
75,23,46,23
42,52,9,29
49,18,22,9
68,94,91,12
