75,19,19,1
62,71,45,48
34,64,87,27
93,50,94,79
94,85,25,17
32,39,45,77
43,30,84,22
89,64,73,74
15,50,79,97
22,52,71,37
97,8,50,18
57,10,36,56
32,96,86,99
65,61,9,57
10,62,43,68
60,44,27,10
44,52,41,55
58,19,71,1
76,33,36,61
100,67,58,22
47,32,37,15
99,11,17,47
100,38,43,11
5,58,5,100
53,100,81,18
7,99,26,53
53,50,32,92
72,25,61,63
50,85,43,93
3,29,58,90
62,54,16,57
81,24,24,93
79,23,19,42
91,73,34,32
69,69,92,42
44,2,92,66
8,65,82,59
26,77,14,47
77,82,2,1
72,31,54,8
75,27,76,19
11,11,14,42
98,66,29,6
85,54,68,98
9,26,80,70
12,53,62,75
98,69,21,18
36,16,65,53
63,19,17,56
62,10,14,31
