95,37,45,22
1,78,42,64
99,92,99,68
57,93,84,54
16,77,76,5
67,97,45,38
77,91,99,53
86,91,46,99
98,84,47,47
55,88,61,85
50,41,51,2
67,88,24,80
63,91,87,47
2,97,42,34
96,61,89,2
19,1,43,51
67,88,87,6
64,92,65,58
98,59,1,60
12,60,90,53
5,93,97,87
29,66,12,85
29,46,87,18
93,82,88,65
46,55,86,79
6,32,69,87
43,8,37,40
36,67,11,10
22,10,82,3
14,86,18,21
68,73,37,6
60,86,93,61
12,54,13,77
55,87,57,54
52,61,53,10
97,25,29,64
71,34,68,85
44,11,8,56
18,62,2,24
90,63,57,35
8,76,26,18
15,83,51,40
25,29,74,21
35,23,10,26
49,73,53,73
15,68,56,89
6,77,37,97
20,24,67,3
14,24,98,12
90,23,14,87
