34,28,61,40
38,39,5,17
20,73,98,74
13,97,17,98
6,60,26,87
83,94,52,97
61,18,90,16
69,1,33,91
43,73,92,49
78,50,59,28
3,96,62,70
85,33,66,64
80,59,67,9
26,69,22,23
94,10,80,4
29,65,59,85
60,88,61,90
3,34,7,12
41,27,31,51
85,71,98,92
46,33,19,86
42,48,83,81
47,24,89,59
80,47,86,23
59,43,83,30
55,46,32,42
2,16,68,58
61,5,39,30
96,75,33,41
97,20,28,67
83,85,27,92
75,20,11,53
56,24,93,96
46,57,46,36
31,45,31,86
76,96,32,67
61,64,21,66
51,53,96,87
35,46,69,62
59,37,41,54
28,57,46,27
82,27,40,50
26,15,97,57
69,44,26,69
50,10,30,68
38,71,17,66
78,36,61,22
39,27,28,16
91,64,1,86
21,11,8,62
